model,Accuracy,Precision,Recall,F1_Score,test_accuracy,test_F1_score
knn_cosine_k1,0.9358533791523482,0.9318623968695372,0.933891418800646,0.9322304287435468,,
knn_euclidean_k1,0.9312714776632304,0.9182316263078754,0.9298914188006462,0.9222297651192356,,
knn_manhattan_k1,0.9301260022909508,0.9187804850276664,0.9275658374052972,0.9213551791684405,,
knn_cosine_k2,0.9129438717067584,0.912072047943546,0.9129113697343256,0.9112205217753216,,
knn_cosine_k3,0.9106529209621992,0.9007545285114188,0.9126140724370282,0.905639322682434,,
knn_euclidean_k2,0.9060710194730812,0.8961645235844298,0.9051333982144186,0.8985036034588345,,
knn_manhattan_k2,0.9037800687285223,0.8965446396036167,0.90298286058001,0.8972592588053923,,
knn_euclidean_k3,0.9037800687285223,0.8927300748783684,0.9021849381264236,0.89577452204924,,
knn_cosine_k4,0.8991981672394044,0.8917446626878659,0.8995857883389767,0.8943509006881989,,
knn_manhattan_k3,0.9003436426116839,0.8878953835491791,0.8960813852111675,0.8903490932266873,,
knn_cosine_k5,0.8923253150057274,0.8836273989761828,0.8965388036198239,0.8881313102176792,,
rf_200,0.8911798396334479,0.8962703713060028,0.8790718017342172,0.8863033662566945,,
knn_euclidean_k4,0.8888888888888888,0.8817911177011222,0.8917608320999169,0.8834128334788712,,
rf_400,0.8888888888888888,0.8942872268714271,0.8753690990315146,0.8831614614334905,,
knn_chebyshev_k1,0.8900343642611683,0.8775571582716039,0.8783299743854883,0.8756167754214724,,
knn_manhattan_k4,0.8843069873997709,0.8736997310133061,0.8820061163939634,0.8752086905105603,,
knn_euclidean_k5,0.8797250859106529,0.8720207539304401,0.879708819096666,0.8729899719030249,,
knn_manhattan_k5,0.8808705612829324,0.8703204139903805,0.8793079688841129,0.8720722208634031,,
knn_cosine_k6,0.8762886597938144,0.8691190633323943,0.8781096693092192,0.8714137200966368,,
knn_euclidean_k6,0.8648339060710195,0.8629192454206104,0.8652327000669088,0.8583897030553034,,
knn_cosine_k7,0.8625429553264605,0.8537063069850352,0.864557504240925,0.8565428413757363,,
knn_manhattan_k6,0.856815578465063,0.8472444947923705,0.8582327000669085,0.8486735023690901,,
knn_chebyshev_k2,0.8579610538373424,0.8574699248719486,0.8522276717828106,0.8478992334928737,,
knn_manhattan_k7,0.8579610538373424,0.8459014471832171,0.856581537276211,0.8473523995852915,,
knn_chebyshev_k3,0.852233676975945,0.8421901569032411,0.8460526280218703,0.8405777078784556,,
knn_euclidean_k7,0.8465063001145475,0.8413953668878097,0.8478318498543554,0.8393387093686314,,
knn_cosine_k8,0.8419243986254296,0.8346846882224799,0.8450061163939633,0.836397249038068,,
knn_euclidean_k8,0.8384879725085911,0.8357618209429776,0.8426098213742625,0.8316050290854926,,
knn_manhattan_k8,0.8396334478808706,0.8308195066265542,0.84043022242047,0.8303866395111423,,
knn_chebyshev_k4,0.8384879725085911,0.8288967533277329,0.833977359204666,0.826319193628696,,
knn_manhattan_k9,0.8327605956471936,0.825737604473909,0.8391612092212244,0.8251860552538302,,
knn_cosine_k9,0.8293241695303551,0.8204510630837041,0.8336289950866094,0.8235530709309838,,
knn_euclidean_k9,0.8167239404352806,0.8126427221585374,0.8188788345735084,0.8076976079020068,,
knn_chebyshev_k5,0.8178694158075601,0.8124420599225488,0.8165810641849651,0.8068782728102999,,
knn_chebyshev_k6,0.8052691867124857,0.8022030363614661,0.8014537823645099,0.791451186743237,,
knn_chebyshev_k7,0.8006872852233677,0.797877279744965,0.8014305265505566,0.7911378914300019,,
knn_chebyshev_k8,0.7880870561282932,0.7853850183007588,0.7891049451552077,0.7765661011066716,,
knn_chebyshev_k9,0.7823596792668958,0.7821221753857838,0.7855057953677609,0.7734382003052522,,
logreg,0.5395189003436426,0.5588596953870356,0.5223065428519292,0.5282084874832527,,
tree_gini_d4,0.3768613974799542,0.3507901293020737,0.3555993998499624,0.3246943627002469,,
knn_hamming_k3,0.1145475372279496,0.0114547537227949,0.1,0.0205549845837615,,
knn_hamming_k4,0.1145475372279496,0.0114547537227949,0.1,0.0205549845837615,,
knn_hamming_k2,0.1145475372279496,0.0114547537227949,0.1,0.0205549845837615,,
knn_hamming_k1,0.1145475372279496,0.0114547537227949,0.1,0.0205549845837615,,
knn_hamming_k5,0.1145475372279496,0.0114547537227949,0.1,0.0205549845837615,,
knn_hamming_k6,0.1065292096219931,0.0106529209621993,0.1,0.0192546583850931,,
knn_hamming_k7,0.1065292096219931,0.0106529209621993,0.1,0.0192546583850931,,
knn_hamming_k8,0.1065292096219931,0.0106529209621993,0.1,0.0192546583850931,,
knn_hamming_k9,0.1065292096219931,0.0106529209621993,0.1,0.0192546583850931,,
knn_cosine_k1,,,,,0.9307384087006296,0.925451555369224
